movie_production_year,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name
2011,15000000,15634090,6384898,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Action
2004,15000000,13337299,5187197,1/1/2004,Historical Fiction,Based on Real Life Events,Live Action,Drama
2005,15000000,5027684,8426790,1/1/2005,Historical Fiction,Original Screenplay,Live Action,Drama
2007,15000000,3526588,3024722,1/1/2007,Fantasy,Based on Fiction Book/Short Story,Live Action,Horror
2004,15000000,29302097,3787786,1/1/2004,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy
2012,15000000,21403519,25607930,1/1/2012,Contemporary Fiction,Original Screenplay,Live Action,Drama
2002,15000000,673414,731618,1/1/2002,Science Fiction,Based on Comic/Graphic Novel,Hand Animation,Adventure
2015,15000000,632542,6200000,1/1/2015,Historical Fiction,Remake,Live Action,Drama
2010,15000000,3247816,31000000,1/1/2010,Contemporary Fiction,Original Screenplay,Live Action,Drama
2002,15000000,47811275,4649742,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2006,15000000,21000147,896220,1/1/2006,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2001,15000000,7219578,4700000,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Drama
2008,15000000,12727025,267175,1/1/2008,Kids Fiction,Based on Short Film,Digital Animation,Comedy
2010,15000000,138797449,292023719,1/1/2010,Dramatization,Original Screenplay,Live Action,Drama
2005,15000000,32645546,861443,1/1/2005,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy
2007,15000000,20804166,16662372,1/1/2007,Fantasy,Remake,Live Action,Horror
2008,15000000,12898847,13271555,1/1/2008,Factual,Based on Real Life Events,Live Action,Concert/Performance
2009,15000000,17017811,32876412,1/1/2009,Contemporary Fiction,Original Screenplay,Live Action,Drama
2009,15000000,13043363,5812788,1/1/2009,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy
2013,15000000,102003019,58900000,1/1/2013,Factual,Based on Real Life Events,Live Action,Comedy
2014,15000000,30127963,10949,1/1/2014,Contemporary Fiction,Based on Factual Book/Article,Live Action,Drama
2012,15000000,14945541,24292902,1/1/2012,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense
2006,15000000,18844784,3320824,1/1/2006,Contemporary Fiction,Original Screenplay,Live Action,Action
2003,15000000,9237470,3024595,1/1/2003,Contemporary Fiction,Original Screenplay,Live Action,Drama
