"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"15",554430,"Wheeler, Zack","2021-04-03","90","16.7","0.000","0.000","0.000","0.000","0.000","0.133","0.146","0","3","72.6","30.0","2316","95.0","96.03","2","7","8","1.0","7.08","114","153","115","151","291","322","292"
"15",543135,"Eovaldi, Nathan","2021-09-03","98","15.3","0.250","0.000","0.333","0.250","0.220","0.311","0.310","1","4","88.3","-19.7","1845","90.5","91.38","2","6","9","0.9","6.73","104","153","118","152","284","317","302"
"15",621111,"Buehler, Walker","2021-08-14","110","13.6","0.250","0.000","0.500","0.250","0.220","0.283","0.266","1","4","93.6","23.5","2291","92.0","92.12","2","7","8","0.1","6.39","109","167","129","151","290","327","305"
"15",592836,"Walker, Taijuan","2021-05-12","97","15.5","0.500","0.000","0.500","0.500","0.440","0.427","0.320","2","4","78.4","-5.3","2031","87.8","80.15","2","7","8","-7.6","5.89","100","145","110","145","292","326","301"
"15",621111,"Buehler, Walker","2021-07-10","95","15.8","0.000","0.000","0.000","0.000","0.000","0.156","0.113","0","3","92.4","15.0","2421","90.1","90.62","2","8","7","0.5","6.40","120","163","122","155","297","317","292"
"14",554430,"Wheeler, Zack","2021-05-01","97","14.4","0.000","0.000","0.000","0.000","0.000","0.241","0.261","0","3","98.9","-0.5","2286","96.9","98.26","2","9","5","1.4","7.19","119","152","121","154","293","329","298"
"14",554430,"Wheeler, Zack","2021-05-06","118","11.9","0.000","0.000","0.000","0.000","0.000","0.048","0.054","0","3","44.9","10.0","2266","94.5","95.85","1","5","9","1.4","7.12","122","151","125","153","296","324","297"
"14",554430,"Wheeler, Zack","2021-06-10","105","13.3","0.000","0.000",,"0.000","0.000","0.000",,"0","3",,,"2385","92.8","94.06","3","6","8","1.3","7.07","115","155","116","148","296","324","282"
"14",621111,"Buehler, Walker","2021-07-28","98","14.3","0.200","0.000","0.333","0.200","0.176","0.021","0.021","1","5","88.0","28.3","2298","89.6","90.12","1","8","6","0.5","6.41","101","166","125","154","292","320","306"
"14",608331,"Fried, Max","2021-08-14","86","16.3","0.333","0.000","0.400","0.333","0.293","0.231","0.250","2","6","93.5","5.8","2249","87.5","87.84","2","8","6","0.3","6.41","93","146","122","148","298","322","293"
"14",592836,"Walker, Taijuan","2021-05-06","92","15.2","0.000","0.000","0.000","0.000","0.000","0.088","0.096","0","3","94.7","20.0","2266","88.2","87.96","2","9","5","-0.2","5.97","126","178","124","154","301","331","306"
"13",554430,"Wheeler, Zack","2021-07-02","114","11.4","0.000","0.000","0.000","0.000","0.000","0.160","0.159","0","3","84.8","16.3","2375","94.2","95.49","0","7","6","1.3","7.14","120","154","118","152","295","330","298"
"13",621111,"Buehler, Walker","2021-04-27","96","13.5","0.250","0.000","0.333","0.250","0.220","0.109","0.112","1","4","84.2","43.0","2766","92.3","92.57","1","5","8","0.3","6.55","108","166","124","152","302","318","290"
"13",621111,"Buehler, Walker","2021-06-08","93","14.0","0.000","0.000","0.000","0.000","0.000","0.184","0.140","0","3","98.9","22.0","2753","90.0","90.32","4","9","4","0.3","6.42","115","155","117","154","304","318","291"
"13",621111,"Buehler, Walker","2021-06-19","108","12.0","0.000","0.000","0.000","0.000","0.000","0.104","0.096","0","3","58.5","-40.5","2623","89.0","89.06","0","7","6","0.1","6.42","126","155","120","156","296","328","309"
"13",663556,"McClanahan, Shane","2021-08-27","78","16.7","0.333","0.000","0.500","0.333","0.400","0.459","0.400","1","3","85.4","8.0","2294","88.1","88.52","2","6","7","0.4","6.62","109","150","117","144","309","339","286"
"13",554430,"Wheeler, Zack","2021-06-04","101","12.9","0.250","0.750","0.000","1.000","0.502","0.503","0.268","1","4","100.4","15.0","2394","91.9","93.10","4","7","6","1.2","7.16","117","153","117","149","296","327","289"
"13",554430,"Wheeler, Zack","2021-07-07","97","13.4","0.333","0.000","0.500","0.333","0.393","0.345","0.248","1","3","93.8","-24.0","2252","91.7","93.39","1","5","8","1.7","7.21","100","145","113","147","287","316","296"
"13",554430,"Wheeler, Zack","2021-07-23","111","11.7","0.250","0.000","0.250","0.250","0.220","0.246","0.250","1","4","84.7","-16.5","2349","90.9","92.48","1","8","5","1.6","7.19","104","150","114","145","293","326","293"
"13",554430,"Wheeler, Zack","2021-08-03","105","12.4","0.400","0.000","0.500","0.400","0.352","0.264","0.260","2","5","80.8","23.8","2341","92.2","93.98","2","10","3","1.8","7.08","110","152","109","149","294","318","295"
"13",554430,"Wheeler, Zack","2021-09-11","101","12.9","0.250","0.750","0.000","1.000","0.502","0.581","0.344","1","4","88.3","12.3","2336","93.1","94.75","1","7","6","1.7","7.25","113","153","111","150","294","320","284"
"12",608331,"Fried, Max","2021-08-27","93","12.9","0.000","0.000","0.000","0.000","0.000","0.073","0.079","0","3","88.1","3.0","2244","85.6","85.72","1","7","5","0.1","6.36","110","155","123","150","312","321","287"
"12",621111,"Buehler, Walker","2021-06-13","96","12.5","0.000","0.000","0.000","0.000","0.180","0.478","0.427","0","3","62.1","5.3","2729","92.1","92.36","0","4","8","0.3","6.26","91","149","117","154","291","311","298"
"12",621111,"Buehler, Walker","2021-09-11","96","12.5","0.250","0.250","0.333","0.500","0.310","0.246","0.202","1","4","91.9","-15.7","2213","92.3","92.79","1","6","6","0.5","6.37","121","156","110","147","304","319","292"
"12",608331,"Fried, Max","2021-06-12","94","12.8","0.000","0.000","0.000","0.000","0.000","0.084","0.090","0","3","87.4","-12.0","2271","83.4","83.13","1","8","4","-0.3","6.30","113","153","143","140","307","317","299"
